lr,dropout,hidden_dim,batch_size,n_steps,train_loss,train_f1,train_acc,valid_loss,valid_f1,valid_acc
0.001,0.1,256,16,2000,0.5143,0.7026,0.7176,0.5469,0.6432,0.6987
0.0001,0.1,64,64,6000,0.5694,0.6707,0.6802,0.5576,0.6315,0.7055
0.001,0.3,128,16,4000,0.5098,0.7136,0.7253,0.5526,0.6304,0.6967
0.001,0.1,64,32,2000,0.5302,0.69,0.7111,0.5588,0.6299,0.6995
0.0001,0.2,64,32,4000,0.5861,0.6605,0.6687,0.575,0.6296,0.6939
0.001,0.1,32,32,4000,0.5107,0.7141,0.7238,0.5551,0.6263,0.6888
0.001,0.1,64,32,2000,0.5282,0.7058,0.7097,0.5572,0.626,0.6814
0.001,0.2,32,16,2000,0.5738,0.6661,0.6759,0.5693,0.6217,0.6812
0.0001,0.3,64,16,4000,0.599,0.6524,0.6646,0.5909,0.616,0.6841
0.001,0.1,32,16,4000,0.5308,0.6903,0.7064,0.5506,0.6142,0.693
0.0001,0.2,256,32,2000,0.5849,0.6491,0.6691,0.5757,0.6133,0.6872
0.001,0.3,256,16,8000,0.3112,0.8534,0.8595,0.672,0.6131,0.6793
0.001,0.2,32,32,8000,0.4681,0.7394,0.7563,0.5827,0.6128,0.6826
0.0001,0.1,64,32,4000,0.5831,0.6591,0.6713,0.5811,0.6121,0.6845
0.001,0.3,64,64,8000,0.3561,0.8241,0.8303,0.6613,0.6102,0.6708
0.0001,0.3,32,64,8000,0.5788,0.6637,0.6719,0.578,0.6065,0.6716
0.001,0.2,64,16,4000,0.5224,0.6909,0.7116,0.5563,0.6062,0.683
0.0001,0.3,32,32,6000,0.5945,0.6414,0.6667,0.5904,0.605,0.6802
0.001,0.2,32,16,4000,0.5412,0.6812,0.7008,0.5519,0.6049,0.6941
0.0,0.1,128,16,8000,0.6467,0.6318,0.625,0.6311,0.6036,0.6538
0.0001,0.3,32,32,4000,0.6077,0.6492,0.6633,0.6006,0.6031,0.6726
0.0,0.2,128,64,6000,0.6399,0.6251,0.6276,0.6321,0.6021,0.6377
0.001,0.2,256,16,8000,0.227,0.9007,0.9052,0.8165,0.6002,0.6646
0.0,0.2,256,32,2000,0.6598,0.6243,0.6148,0.6463,0.5963,0.6408
0.0001,0.2,32,32,8000,0.5865,0.6575,0.6727,0.587,0.5953,0.6822
0.001,0.2,64,32,8000,0.3976,0.7959,0.8081,0.6352,0.5945,0.6776
0.001,0.1,64,32,2000,0.5302,0.6855,0.7071,0.5522,0.5938,0.6864
0.0,0.3,128,32,4000,0.6556,0.6219,0.6162,0.6396,0.5937,0.6448
0.0,0.2,128,32,4000,0.6514,0.6337,0.6212,0.6383,0.5928,0.6498
0.0,0.1,128,16,4000,0.6626,0.6208,0.6116,0.6494,0.5909,0.6385
0.0001,0.1,32,32,2000,0.6189,0.6496,0.6567,0.617,0.5892,0.6611
0.001,0.1,64,32,4000,0.4825,0.7226,0.746,0.5679,0.5836,0.6816
0.001,0.2,32,32,6000,0.4989,0.7113,0.7328,0.5683,0.5829,0.6836
0.0,0.2,128,64,2000,0.6636,0.601,0.6062,0.652,0.5682,0.6323
0.0,0.3,32,64,6000,0.6587,0.6083,0.61,0.655,0.5537,0.6053
0.0,0.1,64,16,4000,0.6659,0.5727,0.5984,0.6519,0.5511,0.6287
0.0,0.3,32,32,4000,0.6746,0.3467,0.5504,0.6625,0.3131,0.5853
0.0,0.1,64,32,2000,0.6758,0.2879,0.5367,0.6639,0.2652,0.5804
0.0,0.3,64,64,2000,0.6708,0.2522,0.5532,0.656,0.2245,0.5937
0.0,0.3,32,64,2000,0.6864,0.0,0.5346,0.6821,0.0,0.5608
